###
# Charged Particle in Vertical Electric Field 
#-------- Runtime parameters ----#
# Solver used : explicit rk4
# Time step : 0.000100
#--------------------------------#
#    t      	     x      	     y      	     z      	     u      	     v      	     w      
###
3.750000e-01	3.739067e+00	-4.961998e+00	7.225651e-01	-5.557805e+00	-1.770294e+01	1.855487e+00
3.800000e-01	3.710190e+00	-5.050112e+00	7.318379e-01	-5.992600e+00	-1.754093e+01	1.853632e+00
3.850000e-01	3.679149e+00	-5.137390e+00	7.411015e-01	-6.422779e+00	-1.736827e+01	1.851780e+00
3.900000e-01	3.645970e+00	-5.223778e+00	7.503557e-01	-6.848082e+00	-1.718509e+01	1.849929e+00
3.950000e-01	3.610677e+00	-5.309223e+00	7.596008e-01	-7.268253e+00	-1.699154e+01	1.848080e+00
4.000000e-01	3.573296e+00	-5.393676e+00	7.688365e-01	-7.683039e+00	-1.678775e+01	1.846233e+00
4.050000e-01	3.533856e+00	-5.477084e+00	7.780631e-01	-8.092192e+00	-1.657386e+01	1.844387e+00
4.100000e-01	3.492384e+00	-5.559398e+00	7.872804e-01	-8.495467e+00	-1.635004e+01	1.842544e+00
4.150000e-01	3.448911e+00	-5.640568e+00	7.964885e-01	-8.892624e+00	-1.611644e+01	1.840702e+00
4.200000e-01	3.403469e+00	-5.720546e+00	8.056874e-01	-9.283426e+00	-1.587323e+01	1.838863e+00
4.250000e-01	3.356088e+00	-5.799285e+00	8.148772e-01	-9.667642e+00	-1.562058e+01	1.837025e+00
4.300000e-01	3.306803e+00	-5.876737e+00	8.240577e-01	-1.004504e+01	-1.535867e+01	1.835188e+00
4.350000e-01	3.255649e+00	-5.952856e+00	8.332290e-01	-1.041541e+01	-1.508768e+01	1.833354e+00
4.400000e-01	3.202661e+00	-6.027599e+00	8.423912e-01	-1.077853e+01	-1.480779e+01	1.831522e+00
4.450000e-01	3.147877e+00	-6.100920e+00	8.515443e-01	-1.113417e+01	-1.451920e+01	1.829691e+00
4.500000e-01	3.091332e+00	-6.172777e+00	8.606881e-01	-1.148215e+01	-1.422211e+01	1.827862e+00
4.550000e-01	3.033068e+00	-6.243127e+00	8.698229e-01	-1.182225e+01	-1.391672e+01	1.826035e+00
4.600000e-01	2.973123e+00	-6.311930e+00	8.789485e-01	-1.215428e+01	-1.360323e+01	1.824210e+00
4.650000e-01	2.911539e+00	-6.379146e+00	8.880650e-01	-1.247804e+01	-1.328187e+01	1.822387e+00
4.700000e-01	2.848357e+00	-6.444736e+00	8.971724e-01	-1.279335e+01	-1.295284e+01	1.820566e+00
4.750000e-01	2.783620e+00	-6.508662e+00	9.062707e-01	-1.310003e+01	-1.261637e+01	1.818746e+00
4.800000e-01	2.717371e+00	-6.570888e+00	9.153598e-01	-1.339791e+01	-1.227268e+01	1.816928e+00
4.850000e-01	2.649656e+00	-6.631377e+00	9.244399e-01	-1.368682e+01	-1.192200e+01	1.815112e+00
4.900000e-01	2.580519e+00	-6.690097e+00	9.335110e-01	-1.396659e+01	-1.156457e+01	1.813298e+00
4.950000e-01	2.510006e+00	-6.747012e+00	9.425729e-01	-1.423706e+01	-1.120063e+01	1.811485e+00
5.000000e-01	2.438164e+00	-6.802092e+00	9.516258e-01	-1.449809e+01	-1.083040e+01	1.809675e+00
5.050000e-01	2.365041e+00	-6.855306e+00	9.606697e-01	-1.474954e+01	-1.045414e+01	1.807866e+00
5.100000e-01	2.290684e+00	-6.906624e+00	9.697045e-01	-1.499126e+01	-1.007210e+01	1.806059e+00
5.150000e-01	2.215144e+00	-6.956018e+00	9.787303e-01	-1.522312e+01	-9.684518e+00	1.804254e+00
5.200000e-01	2.138470e+00	-7.003460e+00	9.877470e-01	-1.544500e+01	-9.291658e+00	1.802451e+00
5.250000e-01	2.060711e+00	-7.048926e+00	9.967548e-01	-1.565677e+01	-8.893771e+00	1.800649e+00
5.300000e-01	1.981919e+00	-7.092390e+00	1.005754e+00	-1.585834e+01	-8.491118e+00	1.798849e+00
5.350000e-01	1.902145e+00	-7.133830e+00	1.014743e+00	-1.604958e+01	-8.083960e+00	1.797051e+00
5.400000e-01	1.821441e+00	-7.173223e+00	1.023724e+00	-1.623040e+01	-7.672559e+00	1.795255e+00
5.450000e-01	1.739859e+00	-7.210549e+00	1.032696e+00	-1.640072e+01	-7.257183e+00	1.793461e+00
5.500000e-01	1.657451e+00	-7.245788e+00	1.041659e+00	-1.656043e+01	-6.838099e+00	1.791668e+00
5.550000e-01	1.574272e+00	-7.278924e+00	1.050613e+00	-1.670947e+01	-6.415576e+00	1.789877e+00
5.600000e-01	1.490374e+00	-7.309939e+00	1.059557e+00	-1.684777e+01	-5.989885e+00	1.788089e+00
5.650000e-01	1.405812e+00	-7.338818e+00	1.068493e+00	-1.697525e+01	-5.561298e+00	1.786301e+00
5.700000e-01	1.320640e+00	-7.365548e+00	1.077420e+00	-1.709187e+01	-5.130091e+00	1.784516e+00
5.750000e-01	1.234912e+00	-7.390115e+00	1.086339e+00	-1.719756e+01	-4.696537e+00	1.782732e+00
5.800000e-01	1.148683e+00	-7.412509e+00	1.095248e+00	-1.729228e+01	-4.260912e+00	1.780950e+00
5.850000e-01	1.062007e+00	-7.432721e+00	1.104148e+00	-1.737601e+01	-3.823493e+00	1.779170e+00
5.900000e-01	9.749411e-01	-7.450742e+00	1.113039e+00	-1.744870e+01	-3.384557e+00	1.777392e+00
5.950000e-01	8.875389e-01	-7.466565e+00	1.121922e+00	-1.751033e+01	-2.944382e+00	1.775616e+00
6.000000e-01	7.998562e-01	-7.480184e+00	1.130796e+00	-1.756089e+01	-2.503244e+00	1.773841e+00
6.050000e-01	7.119485e-01	-7.491596e+00	1.139660e+00	-1.760037e+01	-2.061423e+00	1.772068e+00
6.100000e-01	6.238710e-01	-7.500798e+00	1.148516e+00	-1.762876e+01	-1.619196e+00	1.770297e+00
6.150000e-01	5.356793e-01	-7.507788e+00	1.157363e+00	-1.764607e+01	-1.176839e+00	1.768527e+00
6.200000e-01	4.474287e-01	-7.512566e+00	1.166202e+00	-1.765232e+01	-7.346304e-01	1.766760e+00
6.250000e-01	3.591746e-01	-7.515135e+00	1.175031e+00	-1.764751e+01	-2.928459e-01	1.764994e+00
6.300000e-01	2.709720e-01	-7.515496e+00	1.183852e+00	-1.763167e+01	1.482391e-01	1.763230e+00
6.350000e-01	1.828761e-01	-7.513654e+00	1.192663e+00	-1.760484e+01	5.883500e-01	1.761467e+00
6.400000e-01	9.494183e-02	-7.509614e+00	1.201466e+00	-1.756706e+01	1.027214e+00	1.759707e+00
6.450000e-01	7.223726e-03	-7.503384e+00	1.210260e+00	-1.751837e+01	1.464558e+00	1.757948e+00
6.500000e-01	-8.022374e-02	-7.494972e+00	1.219046e+00	-1.745881e+01	1.900113e+00	1.756191e+00
6.550000e-01	-1.673464e-01	-7.484387e+00	1.227822e+00	-1.738846e+01	2.333609e+00	1.754436e+00
6.600000e-01	-2.540905e-01	-7.471640e+00	1.236590e+00	-1.730738e+01	2.764780e+00	1.752682e+00
6.650000e-01	-3.404025e-01	-7.456743e+00	1.245349e+00	-1.721564e+01	3.193361e+00	1.750930e+00
6.700000e-01	-4.262292e-01	-7.439711e+00	1.254099e+00	-1.711331e+01	3.619088e+00	1.749180e+00
6.750000e-01	-5.115180e-01	-7.420557e+00	1.262841e+00	-1.700048e+01	4.041702e+00	1.747432e+00
6.800000e-01	-5.962167e-01	-7.399299e+00	1.271574e+00	-1.687725e+01	4.460943e+00	1.745685e+00
6.850000e-01	-6.802734e-01	-7.375954e+00	1.280298e+00	-1.674372e+01	4.876558e+00	1.743940e+00
6.900000e-01	-7.636368e-01	-7.350540e+00	1.289013e+00	-1.659997e+01	5.288292e+00	1.742197e+00
6.950000e-01	-8.462563e-01	-7.323078e+00	1.297720e+00	-1.644614e+01	5.695897e+00	1.740456e+00
7.000000e-01	-9.280816e-01	-7.293589e+00	1.306418e+00	-1.628233e+01	6.099126e+00	1.738716e+00
7.050000e-01	-1.009063e+00	-7.262094e+00	1.315107e+00	-1.610866e+01	6.497735e+00	1.736979e+00
7.100000e-01	-1.089152e+00	-7.228619e+00	1.323787e+00	-1.592527e+01	6.891484e+00	1.735243e+00
7.150000e-01	-1.168300e+00	-7.193188e+00	1.332459e+00	-1.573228e+01	7.280137e+00	1.733508e+00
7.200000e-01	-1.246459e+00	-7.155827e+00	1.341123e+00	-1.552984e+01	7.663461e+00	1.731775e+00
7.250000e-01	-1.323583e+00	-7.116563e+00	1.349777e+00	-1.531810e+01	8.041226e+00	1.730045e+00
7.300000e-01	-1.399625e+00	-7.075424e+00	1.358423e+00	-1.509720e+01	8.413209e+00	1.728315e+00
7.350000e-01	-1.474540e+00	-7.032441e+00	1.367060e+00	-1.486730e+01	8.779187e+00	1.726588e+00
7.400000e-01	-1.548283e+00	-6.987643e+00	1.375689e+00	-1.462856e+01	9.138943e+00	1.724862e+00
