###
# Charged Particle in Vertical Electric Field 
#-------- Runtime parameters ----#
# Solver used : backward euler
# Time step : 0.000100
#--------------------------------#
#    t      	     x      	     y      	     z      	     u      	     v      	     w      
###
4.500000e+00	-5.721678e-01	-5.439319e+00	5.934285e+00	-7.082162e+00	3.948703e+00	8.131430e-01
4.550000e+00	-8.964374e-01	-5.201126e+00	5.974739e+00	-5.826345e+00	5.522412e+00	8.050521e-01
4.600000e+00	-1.149149e+00	-4.893218e+00	6.014791e+00	-4.236259e+00	6.724391e+00	7.970417e-01
4.650000e+00	-1.316145e+00	-4.535962e+00	6.054445e+00	-2.416579e+00	7.487916e+00	7.891111e-01
4.700000e+00	-1.388830e+00	-4.152364e+00	6.093703e+00	-4.840531e-01	7.774624e+00	7.812593e-01
4.750000e+00	-1.364598e+00	-3.766598e+00	6.132571e+00	1.439932e+00	7.576308e+00	7.734857e-01
4.800000e+00	-1.246866e+00	-3.402490e+00	6.171053e+00	3.236925e+00	6.914829e+00	7.657894e-01
4.850000e+00	-1.044752e+00	-3.082058e+00	6.209151e+00	4.798660e+00	5.840169e+00	7.581698e-01
4.900000e+00	-7.723906e-01	-2.824191e+00	6.246871e+00	6.033523e+00	4.426791e+00	7.506259e-01
4.950000e+00	-4.479704e-01	-2.643544e+00	6.284215e+00	6.871874e+00	2.768561e+00	7.431571e-01
5.000000e+00	-9.252669e-02	-2.549721e+00	6.321187e+00	7.269901e+00	9.725776e-01	7.357626e-01
5.050000e+00	2.714103e-01	-2.546781e+00	6.357792e+00	7.211812e+00	-8.476954e-01	7.284416e-01
5.100000e+00	6.212341e-01	-2.633101e+00	6.394032e+00	6.710247e+00	-2.579550e+00	7.211936e-01
5.150000e+00	9.356573e-01	-2.801586e+00	6.429912e+00	5.804938e+00	-4.117969e+00	7.140176e-01
5.200000e+00	1.195998e+00	-3.040216e+00	6.465435e+00	4.559718e+00	-5.371947e+00	7.069130e-01
5.250000e+00	1.387279e+00	-3.332886e+00	6.500604e+00	3.058112e+00	-6.269820e+00	6.998792e-01
5.300000e+00	1.499080e+00	-3.660479e+00	6.535424e+00	1.397789e+00	-6.763307e+00	6.929153e-01
5.350000e+00	1.526087e+00	-4.002103e+00	6.569896e+00	-3.157329e-01	-6.830013e+00	6.860207e-01
